jhave@jhave-Ubuntu:~$ cd Documents/
jhave@jhave-Ubuntu:~/Documents$ cd Github/gpt-2-finetuning/
jhave@jhave-Ubuntu:~/Documents/Github/gpt-2-finetuning$ source activate tf1p13_gpt-2
(tf1p13_gpt-2) jhave@jhave-Ubuntu:~/Documents/Github/gpt-2-finetuning$ PYTHONPATH=src ./encode.py --in_text ALL+tmblr.txt --out_npz ALL+tmblr.txt.npz
Reading files
0it [00:00, ?it/s]
Writing ALL+tmblr.txt.npz
(tf1p13_gpt-2) jhave@jhave-Ubuntu:~/Documents/Github/gpt-2-finetuning$ cat March-2018_SOURCES/* > ALL_tmblr.txt
cat: 'March-2018_SOURCES/*': No such file or directory
(tf1p13_gpt-2) jhave@jhave-Ubuntu:~/Documents/Github/gpt-2-finetuning$ cat DATA/March-2018_SOURCES/* > ALL_tmblr.txt
(tf1p13_gpt-2) jhave@jhave-Ubuntu:~/Documents/Github/gpt-2-finetuning$ PYTHONPATH=src ./encode.py --in_text ALL_tmblr.txt --out_npz ALL_tmblr.txt.npz
Reading files
100%|█████████████████████████████████████████████| 1/1 [00:29<00:00, 29.26s/it]
(tf1p13_gpt-2) jhave@jhave-Ubuntu:~/Documents/Github/gpt-2-finetuning$ PYTHONPATH=src ./train.py --dataset ALL_tmblr.txt.npz --batch_size 1 --save_every 10000 --sample_every 1000nts/Github/gpt-2-finetuning$ PYTHONPATH=src ./train.py --dataset ALL_tmblr.txt.npz --batch_siz2019-05-06 19:03:09.346869: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-06 19:03:09.384428: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3408000000 Hz
2019-05-06 19:03:09.385802: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x555bed5021d0 executing computations on platform Host. Devices:
2019-05-06 19:03:09.385902: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-06 19:03:09.490179: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:998] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-05-06 19:03:09.491347: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x555bee2cd520 executing computations on platform CUDA. Devices:
2019-05-06 19:03:09.491379: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): GeForce GTX TITAN X, Compute Capability 5.2
2019-05-06 19:03:09.492080: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1433] Found device 0 with properties: 
name: GeForce GTX TITAN X major: 5 minor: 2 memoryClockRate(GHz): 1.076
pciBusID: 0000:01:00.0
totalMemory: 11.92GiB freeMemory: 11.65GiB
2019-05-06 19:03:09.492106: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1512] Adding visible gpu devices: 0
2019-05-06 19:03:09.494371: I tensorflow/core/common_runtime/gpu/gpu_device.cc:984] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-05-06 19:03:09.494400: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990]      0 
2019-05-06 19:03:09.494410: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1003] 0:   N 
2019-05-06 19:03:09.495072: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 11333 MB memory) -> physical GPU (device: 0, name: GeForce GTX TITAN X, pci bus id: 0000:01:00.0, compute capability: 5.2)
WARNING:tensorflow:From /home/jhave/anaconda3/envs/tf1p13_gpt-2/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /home/jhave/Documents/Github/gpt-2-finetuning/src/sample.py:51: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/jhave/Documents/Github/gpt-2-finetuning/src/sample.py:53: multinomial (from tensorflow.python.ops.random_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.random.categorical instead.
WARNING:tensorflow:From /home/jhave/anaconda3/envs/tf1p13_gpt-2/lib/python3.6/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/jhave/anaconda3/envs/tf1p13_gpt-2/lib/python3.6/site-packages/tensorflow/python/ops/math_grad.py:102: div (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Deprecated in favor of operator or tf.math.divide.
Loading checkpoint checkpoint/run1/model-20302
WARNING:tensorflow:From /home/jhave/anaconda3/envs/tf1p13_gpt-2/lib/python3.6/site-packages/tensorflow/python/training/saver.py:1266: checkpoint_exists (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to check for files with this prefix.
Loading dataset...
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:00<00:00,  5.48it/s]
dataset has 7806061 tokens
Training...
2019-05-06 19:03:43.906984: I tensorflow/stream_executor/dso_loader.cc:152] successfully opened CUDA library libcublas.so.10.0 locally
[20303 | 7.52] loss=5.30 avg=5.30
[20304 | 8.89] loss=4.90 avg=5.10
[20305 | 10.27] loss=4.00 avg=4.73
[20306 | 11.64] loss=3.57 avg=4.44
[20307 | 13.02] loss=2.55 avg=4.05
[20308 | 14.39] loss=1.33 avg=3.59
[20309 | 15.77] loss=3.62 avg=3.59
[20310 | 17.15] loss=1.55 avg=3.33
[20311 | 18.53] loss=3.49 avg=3.35
[20312 | 19.91] loss=4.26 avg=3.44
[20313 | 21.28] loss=0.80 avg=3.19
[20314 | 22.67] loss=3.01 avg=3.17
[20315 | 24.06] loss=0.15 avg=2.93
[20316 | 25.44] loss=1.66 avg=2.83
[20317 | 26.83] loss=4.08 avg=2.92
[20318 | 28.22] loss=4.19 avg=3.00
[20319 | 29.61] loss=1.61 avg=2.92
[20320 | 31.00] loss=4.10 avg=2.99
[20321 | 32.40] loss=3.52 avg=3.02
[20322 | 33.79] loss=0.92 avg=2.90
[20323 | 35.19] loss=4.31 avg=2.98
[20324 | 36.59] loss=1.99 avg=2.93
[20325 | 37.99] loss=2.32 avg=2.90
[20326 | 39.39] loss=1.60 avg=2.84
[20327 | 40.79] loss=0.68 avg=2.74
[20328 | 42.19] loss=0.54 avg=2.64
[20329 | 43.60] loss=3.51 avg=2.68
[20330 | 45.02] loss=2.31 avg=2.67
[20331 | 46.42] loss=0.37 avg=2.57
[20332 | 47.84] loss=0.27 avg=2.49
[20333 | 49.28] loss=0.46 avg=2.41
[20334 | 50.72] loss=4.24 avg=2.48
[20335 | 52.12] loss=3.42 avg=2.51
[20336 | 53.57] loss=1.43 avg=2.47
[20337 | 55.01] loss=1.50 avg=2.44
[20338 | 56.56] loss=1.82 avg=2.42
[20339 | 58.11] loss=0.65 avg=2.36
[20340 | 59.66] loss=2.26 avg=2.36
[20341 | 61.20] loss=3.91 avg=2.41
[20342 | 62.75] loss=0.39 avg=2.35
[20343 | 64.29] loss=4.32 avg=2.40
[20344 | 65.85] loss=4.18 avg=2.46
[20345 | 67.40] loss=0.16 avg=2.39
[20346 | 68.95] loss=0.33 avg=2.33
[20347 | 70.49] loss=0.86 avg=2.29
[20348 | 72.04] loss=4.14 avg=2.34
[20349 | 73.58] loss=4.02 avg=2.39
[20350 | 75.13] loss=2.24 avg=2.38
[20351 | 76.68] loss=0.77 avg=2.34
[20352 | 78.22] loss=1.00 avg=2.31
[20353 | 79.76] loss=4.03 avg=2.35
[20354 | 81.30] loss=3.87 avg=2.39
[20355 | 82.85] loss=4.60 avg=2.44
[20356 | 84.40] loss=2.02 avg=2.43
[20357 | 85.95] loss=1.71 avg=2.41
[20358 | 87.49] loss=0.83 avg=2.38
[20359 | 89.04] loss=3.23 avg=2.40
[20360 | 90.58] loss=3.94 avg=2.43
[20361 | 92.12] loss=1.66 avg=2.41
[20362 | 93.67] loss=0.88 avg=2.38
[20363 | 95.21] loss=0.89 avg=2.35
[20364 | 96.76] loss=2.29 avg=2.35
[20365 | 98.31] loss=4.26 avg=2.39
[20366 | 99.85] loss=1.67 avg=2.37
[20367 | 101.40] loss=4.56 avg=2.42
[20368 | 102.94] loss=2.27 avg=2.42
[20369 | 104.49] loss=1.75 avg=2.40
[20370 | 106.03] loss=1.86 avg=2.39
[20371 | 107.57] loss=4.38 avg=2.43
[20372 | 109.12] loss=0.12 avg=2.38
[20373 | 110.66] loss=4.00 avg=2.42
[20374 | 112.21] loss=3.43 avg=2.44
[20375 | 113.75] loss=3.27 avg=2.45
[20376 | 115.29] loss=4.16 avg=2.48
[20377 | 116.84] loss=4.32 avg=2.52
[20378 | 118.37] loss=1.78 avg=2.51
[20379 | 119.91] loss=0.28 avg=2.46
[20380 | 121.45] loss=3.89 avg=2.49
[20381 | 122.99] loss=2.55 avg=2.49
[20382 | 124.55] loss=4.14 avg=2.52
[20383 | 126.10] loss=0.31 avg=2.48
[20384 | 127.68] loss=0.55 avg=2.45
[20385 | 129.25] loss=1.43 avg=2.43
[20386 | 130.81] loss=0.22 avg=2.39
[20387 | 132.36] loss=4.23 avg=2.42
[20388 | 133.91] loss=0.95 avg=2.40
[20389 | 135.46] loss=4.13 avg=2.43
[20390 | 137.01] loss=3.71 avg=2.45
[20391 | 138.55] loss=1.40 avg=2.43
[20392 | 140.09] loss=1.83 avg=2.42
[20393 | 141.64] loss=3.09 avg=2.43
[20394 | 143.18] loss=0.23 avg=2.40
[20395 | 144.72] loss=0.65 avg=2.37
[20396 | 146.26] loss=2.08 avg=2.36
[20397 | 147.81] loss=0.85 avg=2.34
[20398 | 149.36] loss=3.97 avg=2.36
[20399 | 150.90] loss=3.85 avg=2.39
[20400 | 152.44] loss=3.35 avg=2.40
[20401 | 153.98] loss=1.04 avg=2.38
[20402 | 155.53] loss=3.16 avg=2.39
[20403 | 157.06] loss=0.57 avg=2.37
[20404 | 158.61] loss=1.38 avg=2.35
[20405 | 160.15] loss=0.29 avg=2.32
[20406 | 161.70] loss=2.38 avg=2.32
[20407 | 163.24] loss=0.28 avg=2.29
[20408 | 164.79] loss=2.19 avg=2.29
[20409 | 166.33] loss=2.14 avg=2.28
[20410 | 167.87] loss=3.90 avg=2.31
[20411 | 169.42] loss=2.20 avg=2.31
[20412 | 170.96] loss=1.38 avg=2.29
[20413 | 172.49] loss=0.15 avg=2.26
[20414 | 174.04] loss=1.91 avg=2.26
[20415 | 175.59] loss=4.03 avg=2.28
[20416 | 177.13] loss=3.18 avg=2.30
[20417 | 178.68] loss=3.72 avg=2.32
[20418 | 180.22] loss=0.77 avg=2.29
[20419 | 181.77] loss=3.68 avg=2.31
[20420 | 183.31] loss=1.18 avg=2.30
[20421 | 184.86] loss=1.62 avg=2.29
[20422 | 186.40] loss=3.79 avg=2.31
[20423 | 187.94] loss=1.01 avg=2.29
[20424 | 189.49] loss=2.67 avg=2.30
[20425 | 191.03] loss=4.11 avg=2.32
[20426 | 192.57] loss=3.71 avg=2.34
[20427 | 194.11] loss=1.60 avg=2.33
[20428 | 195.65] loss=1.49 avg=2.32
[20429 | 197.20] loss=4.44 avg=2.35
[20430 | 198.74] loss=3.20 avg=2.36
[20431 | 200.28] loss=1.37 avg=2.35
[20432 | 201.82] loss=0.92 avg=2.33
[20433 | 203.36] loss=4.03 avg=2.35
[20434 | 204.90] loss=2.78 avg=2.36
[20435 | 206.44] loss=4.04 avg=2.38
[20436 | 207.98] loss=2.11 avg=2.38
[20437 | 209.52] loss=2.04 avg=2.37
[20438 | 211.07] loss=1.74 avg=2.36
[20439 | 212.60] loss=1.15 avg=2.35
[20440 | 214.15] loss=1.81 avg=2.34
[20441 | 215.69] loss=0.60 avg=2.32
[20442 | 217.24] loss=1.44 avg=2.30
[20443 | 218.78] loss=3.98 avg=2.33
[20444 | 220.32] loss=0.50 avg=2.30
[20445 | 221.87] loss=0.80 avg=2.28
[20446 | 223.41] loss=0.15 avg=2.26
[20447 | 224.95] loss=3.96 avg=2.28
[20448 | 226.49] loss=0.42 avg=2.25
[20449 | 228.03] loss=0.25 avg=2.23
[20450 | 229.57] loss=2.32 avg=2.23
[20451 | 231.12] loss=0.25 avg=2.20
[20452 | 232.66] loss=0.21 avg=2.18
[20453 | 234.20] loss=1.96 avg=2.17
[20454 | 235.74] loss=1.35 avg=2.16
[20455 | 237.27] loss=1.57 avg=2.16
[20456 | 238.81] loss=3.01 avg=2.17
[20457 | 240.35] loss=0.69 avg=2.15
[20458 | 241.89] loss=0.23 avg=2.12
[20459 | 243.43] loss=1.01 avg=2.11
[20460 | 244.97] loss=3.40 avg=2.13
[20461 | 246.51] loss=1.02 avg=2.11
[20462 | 248.05] loss=4.08 avg=2.14
[20463 | 249.59] loss=0.29 avg=2.11
[20464 | 251.14] loss=1.53 avg=2.11
[20465 | 252.68] loss=3.89 avg=2.13
[20466 | 254.22] loss=3.87 avg=2.15
[20467 | 255.77] loss=4.16 avg=2.18
[20468 | 257.31] loss=2.07 avg=2.17
[20469 | 258.85] loss=1.73 avg=2.17
[20470 | 260.39] loss=0.80 avg=2.15
[20471 | 261.93] loss=1.47 avg=2.14
[20472 | 263.47] loss=2.23 avg=2.14
[20473 | 265.01] loss=0.15 avg=2.12
[20474 | 266.55] loss=4.45 avg=2.15
[20475 | 268.10] loss=0.15 avg=2.12
[20476 | 269.64] loss=4.59 avg=2.15
[20477 | 271.19] loss=2.22 avg=2.15
[20478 | 272.73] loss=0.20 avg=2.13
[20479 | 274.27] loss=1.17 avg=2.12
[20480 | 275.81] loss=4.10 avg=2.14
[20481 | 277.35] loss=1.93 avg=2.14
[20482 | 278.89] loss=0.64 avg=2.12
[20483 | 280.43] loss=3.59 avg=2.14
[20484 | 281.97] loss=4.34 avg=2.17
[20485 | 283.52] loss=0.62 avg=2.15
[20486 | 285.06] loss=0.19 avg=2.13
[20487 | 286.60] loss=4.18 avg=2.15
[20488 | 288.15] loss=1.32 avg=2.14
[20489 | 289.69] loss=0.84 avg=2.12
[20490 | 291.23] loss=3.65 avg=2.14
[20491 | 292.77] loss=0.66 avg=2.12
[20492 | 294.31] loss=3.92 avg=2.15
[20493 | 295.86] loss=0.66 avg=2.13
[20494 | 297.40] loss=0.38 avg=2.11
[20495 | 298.94] loss=0.18 avg=2.09
[20496 | 300.48] loss=0.23 avg=2.06
[20497 | 302.03] loss=3.65 avg=2.08
[20498 | 303.57] loss=0.35 avg=2.06
[20499 | 305.11] loss=0.65 avg=2.05
[20500 | 306.66] loss=3.25 avg=2.06
[20501 | 308.20] loss=4.13 avg=2.08
[20502 | 309.74] loss=1.58 avg=2.08
[20503 | 311.28] loss=3.74 avg=2.10
[20504 | 312.82] loss=3.60 avg=2.11
[20505 | 314.35] loss=2.10 avg=2.11
[20506 | 315.90] loss=1.65 avg=2.11
[20507 | 317.44] loss=0.55 avg=2.09
